Word,Old Testament,New Testament,Apocrypha,Total
allowance,1,0,2,3
allowed,0,1,1,2
alloweth,0,1,0,1
allure,1,1,1,3
allured,0,0,1,1
almighty,48,9,43,100
almodad,2,0,0,2
almon,1,0,0,1
almond,2,0,0,2
almondiblathaim,2,0,0,2
almonds,6,0,0,6
almost,5,6,3,14
alms,0,13,20,33
almsdeeds,0,1,1,2
almug,2,0,0,2
alnathan,0,0,1,1
aloes,4,1,0,5
aloft,0,0,2,2
alone,70,36,23,129
along,29,0,1,30
aloof,1,0,0,1
aloth,1,0,0,1
aloud,19,1,1,21
alpha,0,4,0,4
alphaeus,0,5,0,5
already,9,21,9,39
also,1131,571,340,2042
altaneus,0,0,1,1
altar,300,21,51,372
altars,48,1,5,54
alter,4,0,1,5
alterations,0,0,1,1
altered,1,1,3,5
altereth,2,0,0,2
although,12,2,1,15
altogether,25,4,5,34
alush,2,0,0,2
alvah,1,0,0,1
alvan,1,0,0,1
alway,11,12,2,25
always,20,39,23,82
am,576,235,67,878
amad,1,0,0,1
amadatha,0,0,2,2
amadathus,0,0,1,1
amain,0,0,1,1
amal,1,0,0,1
amalek,23,0,0,23
amalekite,3,0,0,3
amalekites,23,0,0,23
amam,1,0,0,1
aman,0,0,8,8
aman's,0,0,1,1
amana,1,0,0,1
amariah,14,0,0,14
amarias,0,0,2,2
amasa,12,0,0,12
amasai,5,0,0,5
amashai,1,0,0,1
amasiah,1,0,0,1
amatheis,0,0,1,1
amathis,0,0,1,1
amazed,5,16,1,22
amazement,0,2,0,2
amaziah,39,0,0,39
ambasadors,0,0,1,1
ambassador,3,1,2,6
ambassadors,7,1,10,18
ambassage,0,1,1,2
amber,3,0,0,3
ambush,7,0,4,11
ambushes,1,0,0,1
ambushment,1,0,1,2
ambushments,1,0,0,1
amen,22,50,4,76
amend,5,1,1,7
amendment,0,0,1,1
amends,1,0,0,1
amerce,1,0,0,1
amethyst,2,1,0,3
ami,1,0,0,1
amiable,1,0,1,2
amidst,0,0,1,1
aminadab,0,2,0,2
amiss,2,2,4,8
amittai,2,0,0,2
amity,0,0,7,7
ammah,1,0,0,1
ammi,1,0,0,1
ammidoi,0,0,1,1
ammiel,6,0,0,6
ammihud,10,0,0,10
amminadab,12,0,0,12
amminadib,1,0,0,1
ammishaddai,5,0,0,5
ammizabad,1,0,0,1
ammon,85,0,7,92
ammonite,9,0,1,10
ammonites,22,0,2,24
ammonitess,4,0,0,4
amnon,20,0,0,20
amnon's,3,0,0,3
amok,2,0,0,2
amon,17,1,0,18
among,653,197,127,977
amongst,2,0,0,2
amorite,14,0,0,14
amorites,72,0,2,74
amos,7,1,2,10
amounting,1,0,0,1
amoz,13,0,0,13
amphipolis,0,1,0,1
amplias,0,1,0,1
amram,13,0,0,13
